ID,GEOG,TOT_POP,WHITE,HISP,BLACK,ASIAN,OTHER,W_PERC,H_PERC,B_PERC,A_PERC,O_PERC
14,Albany Park,51575,14932,24892,2337,7883,1531,0.289520116,0.482636937,0.045312651,0.152845371,0.029684925
57,Archer Heights,13233,2477,10178,79,439,60,0.187183556,0.769137762,0.005969924,0.033174639,0.004534119
34,Armour Square,13699,1599,423,1248,10299,130,0.116723848,0.030878166,0.09110154,0.751806701,0.009489744
70,Ashburn,43283,5044,16374,20721,314,830,0.11653536,0.37830095,0.47873299,0.00725458,0.01917612
71,Auburn Gresham,45770,257,614,44267,153,479,0.005615032,0.013414901,0.967161896,0.003342801,0.01046537
25,Austin,97611,4407,12270,79668,475,791,0.0451486,0.125703046,0.816178504,0.004866255,0.008103595
45,Avalon Park,9795,37,68,9573,19,99,0.003777437,0.006942318,0.977335375,0.001939765,0.010107198
21,Avondale,38191,11898,23368,800,1340,785,0.311539368,0.611871907,0.020947344,0.035086801,0.020554581
19,Belmont Cragin,78107,10859,62945,2194,1333,775,0.139027232,0.805881675,0.028089672,0.017066332,0.009922286
72,Beverly,20836,12043,1200,7047,89,457,0.577990017,0.057592628,0.338212709,0.004271453,0.021933193
60,Bridgeport,32789,10955,8160,863,12193,618,0.33410595,0.248863948,0.026319802,0.371862515,0.018847784
58,Brighton Park,44231,2798,37468,453,3253,259,0.0632588,0.847098189,0.010241686,0.073545703,0.005855622
47,Burnside,2442,11,0,2419,0,12,0.004504505,0,0.990581491,0,0.004914005
48,Calumet Heights,13306,161,465,12566,12,102,0.012099805,0.034946641,0.944385991,0.000901849,0.007665715
44,Chatham,30991,459,311,29836,93,291,0.014810752,0.010035172,0.962731115,0.003000871,0.009389823
66,Chicago Lawn,54265,1973,26109,25023,304,856,0.036358611,0.481138856,0.461125956,0.005602138,0.01577444
64,Clearing,25200,11672,12527,340,361,300,0.463174603,0.497103175,0.013492063,0.014325397,0.011904762
35,Douglas,20559,2356,649,14460,2639,455,0.114597013,0.031567683,0.703341602,0.128362274,0.022131427
17,Dunning,43444,27862,12559,895,1755,373,0.641331369,0.289084799,0.020601234,0.040396833,0.008585766
27,East Garfield Park,20225,1079,711,18147,80,208,0.053349815,0.035154512,0.897255871,0.003955501,0.010284302
52,East Side,22982,3929,18387,562,66,38,0.170959882,0.800060917,0.02445392,0.002871813,0.001653468
77,Edgewater,55430,30615,9081,7592,6430,1712,0.552318239,0.163828252,0.136965542,0.116002165,0.030885802
9,Edison Park,11008,9760,749,148,236,114,0.886627907,0.068041424,0.013444767,0.021438953,0.010356105
68,Englewood,26020,204,756,24690,62,308,0.007840123,0.029054573,0.948885473,0.002382782,0.011837048
12,Forest Glen,18651,13669,2440,169,1976,397,0.732882955,0.130824084,0.009061176,0.105946062,0.021285722
37,Fuller Park,2457,123,141,2175,16,2,0.05006105,0.057387057,0.885225885,0.006512007,0.000814001
63,Gage Park,40926,1432,37904,1352,191,47,0.034989982,0.92615941,0.033035234,0.00466696,0.001148414
56,Garfield Ridge,35470,16196,17229,1431,305,309,0.456611221,0.485734423,0.040343953,0.008598816,0.008711587
38,Grand Boulevard,22056,570,373,20503,89,521,0.025843308,0.016911498,0.929588321,0.004035183,0.02362169
69,Greater Grand Crossing,32461,431,387,31301,5,337,0.013277471,0.011921999,0.96426481,0.000154031,0.010381689
55,Hegewisch,9182,4114,4604,447,0,17,0.448050534,0.501415814,0.048682204,0,0.001851448
20,Hermosa,24450,1900,21321,502,384,343,0.077709611,0.87202454,0.020531697,0.015705521,0.01402863
